freq,psd_x,psd_y,psd_z,psd_xyz
147.7,2.298e+03,1.517e+03,1.879e+03,5.694e+03
149.3,1.964e+03,1.438e+03,1.912e+03,5.315e+03
150.8,1.797e+03,1.643e+03,2.251e+03,5.691e+03
152.3,1.693e+03,1.374e+03,1.927e+03,4.994e+03
153.8,1.360e+03,9.451e+02,1.479e+03,3.784e+03
155.3,1.079e+03,8.140e+02,1.890e+03,3.782e+03
156.8,1.040e+03,8.004e+02,1.963e+03,3.804e+03
158.3,1.157e+03,8.430e+02,2.137e+03,4.137e+03
159.8,1.336e+03,9.206e+02,2.262e+03,4.519e+03
161.3,1.398e+03,1.200e+03,3.489e+03,6.087e+03
162.8,1.529e+03,1.485e+03,4.372e+03,7.386e+03
164.3,1.542e+03,1.664e+03,5.061e+03,8.267e+03
165.8,1.570e+03,2.224e+03,5.795e+03,9.590e+03
167.3,1.778e+03,2.864e+03,6.381e+03,1.102e+04
168.8,1.835e+03,3.328e+03,7.186e+03,1.235e+04
170.4,1.838e+03,3.454e+03,7.560e+03,1.285e+04
171.9,1.704e+03,3.593e+03,7.780e+03,1.308e+04
173.4,1.459e+03,3.555e+03,6.597e+03,1.161e+04
174.9,1.179e+03,2.677e+03,3.562e+03,7.418e+03
176.4,1.054e+03,2.340e+03,2.162e+03,5.555e+03
177.9,1.053e+03,2.386e+03,1.840e+03,5.279e+03
179.4,1.061e+03,2.241e+03,1.557e+03,4.859e+03
180.9,9.397e+02,1.810e+03,1.153e+03,3.902e+03
182.4,8.952e+02,1.800e+03,1.065e+03,3.760e+03
183.9,8.497e+02,1.856e+03,1.006e+03,3.712e+03
185.4,8.545e+02,2.133e+03,9.061e+02,3.893e+03
186.9,7.465e+02,2.299e+03,8.411e+02,3.887e+03
188.4,6.970e+02,2.351e+03,8.071e+02,3.855e+03
190.0,6.807e+02,2.427e+03,7.806e+02,3.888e+03
191.5,7.862e+02,2.456e+03,7.223e+02,3.964e+03
193.0,4.874e+02,1.461e+03,3.604e+02,2.309e+03
